"place","population","pct_under_18","pct_between_18_64","pct_over_64","male_female_ratio","male","female"
"Forestville CDP",2443.0,25.3,63.7,11.1,94.5,1087.0,1356.0
"Clearlake Oaks CDP",2419.0,16.5,47.5,36.0,86.3,878.0,1541.0
"Oak Park CDP",2412.0,30.3,64.7,5.0,94.4,1071.0,1341.0
"Angels city",2409.0,24.9,54.8,20.3,83.7,812.0,1597.0
"Hidden Meadows CDP",2371.0,18.1,59.4,22.6,98.7,1155.0,1216.0
"Yosemite Lakes CDP",2367.0,25.5,60.3,14.2,99.9,1181.0,1186.0
"Strathmore CDP",2353.0,36.3,52.3,11.4,90.1,944.0,1409.0
"Rancho Murieta CDP",2336.0,17.6,67.4,15.0,100.1,1170.0,1166.0
"Romoland CDP",2319.0,31.5,55.9,12.5,107.3,1329.0,990.0
"San Joaquin city",2311.0,42.9,51.4,5.8,108.5,1352.0,959.0
"Williams city",2297.0,34.3,51.8,13.8,101.6,1185.0,1112.0
"Aromas CDP",2275.0,29.6,61.7,8.7,96.2,1051.0,1224.0
"Wofford Heights CDP",2270.0,11.7,47.7,40.6,91.3,938.0,1332.0
"Jamul CDP",2258.0,28.5,65.3,6.2,102.5,1185.0,1073.0
"Borrego Springs CDP",2244.0,17.0,48.8,34.2,103.7,1205.0,1039.0
"Aptos Hills-Larkin Valley CDP",2205.0,22.5,65.4,12.1,97.1,1039.0,1166.0
"Frazier Park CDP",2201.0,28.6,59.2,12.2,101.3,1129.0,1072.0
"Portola city",2193.0,29.5,54.8,15.7,88.2,838.0,1355.0
"Jamestown CDP",2178.0,22.1,53.4,24.5,84.7,756.0,1422.0
"South Taft CDP",2170.0,31.0,58.3,10.7,102.0,1128.0,1042.0
"Twain Harte CDP",2170.0,25.0,58.5,16.5,94.4,963.0,1207.0
"Squaw Valley CDP",2161.0,23.8,58.5,17.7,103.1,1147.0,1014.0
"Desert View Highlands CDP",2154.0,31.4,59.6,9.1,97.9,1032.0,1122.0
"Belvedere city",2147.0,16.6,60.7,22.7,87.2,799.0,1348.0
"Glenshire-Devonshire CDP",2133.0,32.9,64.6,2.5,102.7,1124.0,1009.0
"Dunsmuir city",2129.0,26.5,52.8,20.6,92.6,907.0,1222.0
"Las Lomas CDP",2127.0,34.9,59.4,5.7,110.8,1293.0,834.0
"Nice CDP",2126.0,20.6,51.5,27.9,93.6,927.0,1199.0
"Ross town",2123.0,24.0,62.9,13.1,90.9,868.0,1255.0
"Harbison Canyon CDP",2122.0,27.5,65.2,7.3,103.0,1125.0,997.0
"Bethel Island CDP",2115.0,11.9,66.6,21.5,102.8,1117.0,998.0
"San Andreas CDP",2115.0,20.2,52.2,27.6,76.1,552.0,1563.0
"Boron CDP",2101.0,28.4,60.7,10.9,107.0,1198.0,903.0
"Chester CDP",2082.0,27.1,58.1,14.7,96.0,958.0,1124.0
"Lexington Hills CDP",2064.0,21.6,73.4,5.0,108.1,1199.0,865.0
"Taft Heights CDP",2050.0,28.2,58.3,13.5,92.2,865.0,1185.0
"Shingle Springs CDP",2049.0,30.7,59.8,9.5,98.0,984.0,1065.0
"Fetters Hot Springs-Agua Caliente CDP",2024.0,22.4,63.9,13.7,93.3,876.0,1148.0
"Westwood CDP",2017.0,31.4,56.7,11.9,94.2,892.0,1125.0
"Lucerne CDP",2011.0,20.0,43.5,36.5,84.9,702.0,1309.0
"Rainbow CDP",2006.0,22.0,62.0,16.0,109.7,1198.0,808.0
"Riverdale CDP",1980.0,29.0,58.3,12.7,91.7,826.0,1154.0
"Guerneville CDP",1966.0,23.0,64.0,13.0,111.7,1213.0,753.0
"Mecca CDP",1966.0,35.5,58.8,5.7,148.3,1933.0,33.0
"Hidden Valley Lake CDP",1961.0,24.9,58.3,16.8,100.1,982.0,979.0
"Murrieta Hot Springs CDP",1938.0,5.6,37.4,57.0,86.3,703.0,1235.0
"Quail Valley CDP",1937.0,31.3,59.3,9.4,107.3,1110.0,827.0
"Arbuckle CDP",1912.0,37.2,54.1,8.7,95.8,876.0,1036.0
"Parksdale CDP",1911.0,35.8,54.9,9.3,111.0,1166.0,745.0
"Poplar-Cotton Center CDP",1901.0,39.9,51.4,8.6,101.8,985.0,916.0
"Richgrove CDP",1899.0,40.7,51.6,7.7,122.7,1381.0,518.0
"Weedpatch CDP",1892.0,42.4,53.0,4.6,110.8,1150.0,742.0
"Bonsall CDP",1881.0,20.0,69.0,11.1,129.8,1501.0,380.0
"Easton CDP",1877.0,29.6,57.5,12.9,92.4,796.0,1081.0
"Rolling Hills city",1871.0,21.8,63.0,15.3,99.2,921.0,950.0
"Auberry CDP",1866.0,26.7,53.2,20.1,101.6,963.0,903.0
"Loma Rica CDP",1852.0,26.8,58.6,14.6,101.9,961.0,891.0
"Sutter Creek city",1835.0,20.2,56.5,23.3,83.5,615.0,1220.0
"Deer Park CDP",1825.0,20.8,61.3,17.9,86.3,662.0,1163.0
"Lagunitas-Forest Knolls CDP",1821.0,21.9,72.7,5.4,98.1,876.0,945.0
"Lone Pine CDP",1818.0,23.9,50.7,25.5,84.5,627.0,1191.0
"Hamilton City CDP",1811.0,33.6,57.1,9.3,127.7,1407.0,404.0
"Columbia CDP",1799.0,18.7,55.4,25.9,90.7,732.0,1067.0
"Cottonwood CDP",1747.0,30.1,56.2,13.7,85.6,622.0,1125.0
"Soulsbyville CDP",1732.0,29.7,55.5,14.8,90.0,693.0,1039.0
"Hidden Hills city",1729.0,27.2,64.4,8.4,90.3,697.0,1032.0
"San Martin CDP",1713.0,30.0,63.5,6.5,122.9,1249.0,464.0
"Valley Center CDP",1711.0,25.1,57.0,17.9,96.3,792.0,919.0
"Los Molinos CDP",1709.0,25.0,52.4,22.6,85.8,612.0,1097.0
"Val Verde CDP",1689.0,37.2,58.4,4.4,115.7,1110.0,579.0
"Winchester CDP",1689.0,31.0,57.7,11.3,97.6,804.0,885.0
"Tuolumne City CDP",1686.0,29.2,55.0,15.8,85.0,590.0,1096.0
"East Sonora CDP",1675.0,18.6,53.6,27.8,83.3,558.0,1117.0
"Del Rey Oaks city",1661.0,17.9,66.5,15.6,88.8,644.0,1017.0
"Parkwood CDP",1659.0,33.2,59.0,7.8,96.5,771.0,888.0
"Kernville CDP",1656.0,21.7,50.6,27.7,91.6,689.0,967.0
"Sunnyside-Tahoe City CDP",1643.0,22.8,73.4,3.8,117.7,1112.0,531.0
"London CDP",1638.0,40.7,55.7,3.7,132.5,1351.0,287.0
"Wheatland city",1631.0,29.8,56.1,14.1,83.2,541.0,1090.0
"Murrieta CDP",1628.0,29.0,57.8,13.2,96.9,764.0,864.0
"Caruthers CDP",1603.0,33.8,54.6,11.6,90.1,643.0,960.0
"Temelec CDP",1594.0,0.2,36.9,62.9,74.5,391.0,1203.0
"Bear Valley Springs CDP",1593.0,27.6,57.6,14.9,100.3,801.0,792.0
"Cabazon CDP",1588.0,28.3,51.7,20.0,89.5,627.0,961.0
"Biggs city",1581.0,34.5,52.0,13.5,87.5,593.0,988.0
"Willow Creek CDP",1576.0,27.3,58.4,14.3,100.2,791.0,785.0
"San Juan Bautista city",1570.0,29.4,58.7,11.9,93.7,686.0,884.0
"Woodville CDP",1557.0,40.7,51.4,8.0,114.4,1003.0,554.0
"Lake Nacimiento CDP",1556.0,23.7,58.6,17.7,99.8,775.0,781.0
"McCloud CDP",1555.0,26.6,53.9,19.5,91.4,644.0,911.0
"Home Garden CDP",1549.0,39.7,51.9,8.4,105.7,863.0,686.0
"Morongo Valley CDP",1544.0,26.5,53.6,19.9,91.7,644.0,900.0
"Murphys CDP",1517.0,19.8,47.2,33.0,80.0,455.0,1062.0
"Cutten CDP",1516.0,26.2,62.9,10.9,89.3,596.0,920.0
"East Blythe CDP",1511.0,34.1,57.4,8.5,96.4,701.0,810.0
"Esparto CDP",1487.0,32.5,53.7,13.8,99.8,741.0,746.0
"Woodacre CDP",1478.0,23.1,70.2,6.8,105.6,822.0,656.0
"Cobb CDP",1477.0,34.3,57.5,8.2,102.7,778.0,699.0
"Acton CDP",1471.0,28.6,64.9,6.5,97.4,697.0,774.0
"Elkhorn CDP",1458.0,28.1,64.5,7.4,108.3,850.0,608.0
"Dollar Point CDP",1449.0,21.1,71.6,7.2,110.5,877.0,572.0
"Lakeview CDP",1448.0,30.8,57.9,11.3,108.8,851.0,597.0
"Inverness CDP",1422.0,19.2,64.7,16.1,86.2,515.0,907.0
"Laton CDP",1415.0,37.1,53.6,9.3,95.6,645.0,770.0
"Montague city",1415.0,32.9,55.6,11.4,87.2,526.0,889.0
"Kettleman City CDP",1411.0,40.0,56.8,3.3,133.3,1175.0,236.0
"Foresthill CDP",1409.0,28.9,58.1,13.1,107.5,810.0,599.0
"Graton CDP",1409.0,24.7,60.5,14.8,89.8,561.0,848.0
"Greenville CDP",1396.0,28.4,51.5,20.1,86.9,515.0,881.0
"Concow CDP",1392.0,25.6,58.0,16.5,108.0,807.0,585.0
"Tipton CDP",1383.0,36.8,51.8,11.4,99.5,685.0,698.0
"Westmorland city",1380.0,37.0,54.0,9.1,96.8,646.0,734.0
"Linden CDP",1339.0,30.1,58.6,11.4,97.5,636.0,703.0
"Ferndale city",1331.0,26.1,58.1,15.8,89.0,519.0,812.0
"Littlerock CDP",1320.0,33.9,60.2,6.0,111.9,817.0,503.0
"Bayview CDP",1318.0,26.8,57.2,16.0,96.1,608.0,710.0
"Colfax city",1306.0,26.6,56.3,17.1,86.0,470.0,836.0
"Buttonwillow CDP",1301.0,37.2,52.7,10.1,104.3,706.0,595.0
"Occidental CDP",1300.0,26.9,63.0,10.1,106.1,729.0,571.0
"Pine Valley CDP",1297.0,27.9,59.9,12.2,101.1,663.0,634.0
"Bootjack CDP",1295.0,25.4,57.7,16.9,89.8,515.0,780.0
"Julian CDP",1284.0,25.2,60.0,14.8,101.0,655.0,629.0
"Bodfish CDP",1283.0,15.9,48.4,35.7,92.7,548.0,735.0
"North Edwards CDP",1259.0,33.2,60.4,6.4,106.1,706.0,553.0
"Penn Valley CDP",1242.0,21.3,56.4,22.3,87.4,465.0,777.0
"Blue Lake city",1235.0,24.5,64.0,11.5,94.8,553.0,682.0
"Seeley CDP",1228.0,38.9,54.1,7.0,90.8,501.0,727.0
"Lower Lake CDP",1217.0,21.9,52.8,25.2,91.9,510.0,707.0
"South Dos Palos CDP",1214.0,43.3,49.3,7.3,101.8,629.0,585.0
"Lost Hills CDP",1212.0,33.6,64.8,1.7,210.8,1949.0,-737.0
"Redway CDP",1212.0,28.3,56.4,15.3,88.9,471.0,741.0
"Le Grand CDP",1205.0,37.2,52.3,10.5,101.3,618.0,587.0
"Maricopa city",1193.0,31.9,57.8,10.4,101.7,617.0,576.0
"Glen Ellen CDP",1191.0,27.9,63.0,9.2,88.4,457.0,734.0
"Lewiston CDP",1187.0,25.4,56.2,18.4,99.8,591.0,596.0
"Niland CDP",1183.0,25.7,52.7,21.6,103.5,633.0,550.0
"Mi-Wuk Village CDP",1175.0,30.2,55.8,14.0,93.9,516.0,659.0
"Big Pine CDP",1158.0,20.4,54.5,25.1,88.2,442.0,716.0
"Piru CDP",1157.0,27.9,58.7,13.4,118.3,790.0,367.0
"Mountain Mesa CDP",1153.0,23.1,47.4,29.6,91.2,475.0,678.0
"Mariposa CDP",1152.0,17.7,47.4,34.9,72.1,255.0,897.0
"Del Rey CDP",1150.0,38.5,54.7,6.8,112.3,716.0,434.0
"Eldridge CDP",1144.0,24.2,66.0,9.8,88.9,445.0,699.0
"Tahoe Vista CDP",1144.0,24.0,69.4,6.6,104.5,623.0,521.0
"Gerber-Las Flores CDP",1143.0,29.1,52.8,18.1,96.1,527.0,616.0
"Laytonville CDP",1133.0,29.6,58.9,11.6,98.5,550.0,583.0
"Hydesville CDP",1131.0,28.6,56.9,14.5,94.9,508.0,623.0
"Bodega Bay CDP",1127.0,13.1,69.0,17.8,105.7,628.0,499.0
"San Miguel CDP",1123.0,35.0,56.0,9.0,101.1,574.0,549.0
"Westhaven-Moonstone CDP",1109.0,26.8,61.7,11.5,104.0,599.0,510.0
"Colma town",1103.0,25.4,62.9,11.7,96.9,517.0,586.0
"Bolinas CDP",1098.0,22.5,70.7,6.8,95.2,496.0,602.0
"Challenge-Brownsville CDP",1096.0,22.3,52.2,25.5,93.2,473.0,623.0
"South Lake CDP",1059.0,15.3,44.8,39.9,90.9,433.0,626.0
"Monte Rio CDP",1058.0,22.7,65.2,12.1,111.4,650.0,408.0
"Covelo CDP",1057.0,30.3,54.7,15.0,89.9,422.0,635.0
"Irwindale city",1050.0,34.5,57.8,7.7,93.8,460.0,590.0
"Tulelake city",1010.0,33.4,51.6,15.0,92.3,427.0,583.0
