"place","population","pct_under_18","pct_between_18_64","pct_over_64","male_female_ratio","male","female"
"Imperial Beach city",26512.0,29.3,64.5,6.1,105.0,14582.0,11930.0
"Marina city",26436.0,29.2,66.5,4.3,114.6,17078.0,9358.0
"Ceres city",26314.0,33.1,58.4,8.5,91.9,11026.0,15288.0
"Los Altos city",26303.0,20.6,60.8,18.7,91.5,10916.0,15387.0
"Orangevale CDP",26266.0,28.0,62.4,9.6,95.2,11872.0,14394.0
"San Juan Capistrano city",26183.0,26.5,60.6,12.9,96.0,12044.0,14139.0
"San Carlos city",26167.0,19.0,65.5,15.5,89.5,10336.0,15831.0
"Moorpark city",25494.0,33.5,62.7,3.8,103.1,13537.0,11957.0
"Paradise town",25408.0,20.7,48.7,30.6,84.0,8639.0,16769.0
"San Pablo city",25158.0,30.3,59.0,10.7,89.5,9937.0,15221.0
"Seal Beach city",25098.0,11.8,51.2,37.0,75.7,6450.0,18648.0
"Santa Paula city",25062.0,29.9,57.8,12.3,102.4,13132.0,11930.0
"Benicia city",24437.0,27.2,64.7,8.0,93.5,10630.0,13807.0
"Rubidoux CDP",24367.0,33.7,59.2,7.0,98.7,11867.0,12500.0
"Tustin Foothills CDP",24358.0,22.6,65.7,11.7,95.8,11156.0,13202.0
"Florin CDP",24330.0,29.7,58.8,11.5,87.8,9197.0,15133.0
"West Whittier-Los Nietos CDP",24164.0,30.7,59.1,10.3,94.9,10850.0,13314.0
"Belmont city",24127.0,17.7,70.9,11.4,94.4,10712.0,13415.0
"Lemon Grove city",23984.0,26.6,59.6,13.8,89.8,9546.0,14438.0
"South Pasadena city",23936.0,20.3,67.5,12.2,84.0,8138.0,15798.0
"Morgan Hill city",23928.0,30.2,62.2,7.6,97.7,11414.0,12514.0
"Lafayette city",23501.0,22.6,63.9,13.5,93.9,10317.0,13184.0
"East Palo Alto city",23451.0,32.8,61.6,5.6,103.9,12640.0,10811.0
"Norco city",23302.0,22.2,73.1,4.8,140.7,21135.0,2167.0
"Palm Desert city",23252.0,17.1,59.6,23.2,94.3,10301.0,12951.0
"Dublin city",23229.0,22.6,74.1,3.3,129.4,18444.0,4785.0
"Laguna Beach city",23170.0,13.4,72.7,13.9,104.6,12651.0,10519.0
"Atascadero city",23138.0,29.0,59.8,11.2,92.5,9834.0,13304.0
"El Cerrito city",22869.0,16.1,62.7,21.2,86.2,8279.0,14590.0
"Rosemont CDP",22851.0,28.9,65.7,5.5,91.7,9529.0,13322.0
"Cudahy city",22817.0,38.2,57.8,4.0,102.0,11865.0,10952.0
"Delano city",22762.0,34.4,55.1,10.5,100.1,11404.0,11358.0
"Lennox CDP",22757.0,37.5,58.9,3.7,124.2,16886.0,5871.0
"Suisun City city",22686.0,37.1,59.4,3.5,97.2,10708.0,11978.0
"San Fernando city",22580.0,34.3,58.2,7.5,102.3,11809.0,10771.0
"Atwater city",22282.0,35.6,57.7,6.7,94.2,9849.0,12433.0
"Fallbrook CDP",22095.0,29.5,58.3,12.2,98.0,10606.0,11489.0
"South Lake Tahoe city",21586.0,23.7,67.9,8.4,106.6,12218.0,9368.0
"Barstow city",21472.0,30.9,60.1,9.0,98.5,10414.0,11058.0
"Perris city",21460.0,34.2,56.2,9.6,94.5,9550.0,11910.0
"South El Monte city",20850.0,34.0,60.5,5.5,110.1,12531.0,8319.0
"Duarte city",20688.0,28.5,60.1,11.4,88.7,8006.0,12682.0
"Banning city",20570.0,28.4,50.4,21.1,87.9,7796.0,12774.0
"Millbrae city",20412.0,19.5,61.1,19.4,87.9,7736.0,12676.0
"Isla Vista CDP",20395.0,6.3,91.5,2.2,109.0,12033.0,8362.0
"Agoura Hills city",20390.0,31.2,65.0,3.8,94.2,9012.0,11378.0
"Port Hueneme city",20319.0,27.5,62.6,9.9,111.9,12577.0,7742.0
"West Puente Valley CDP",20254.0,32.4,62.1,5.5,99.7,10066.0,10188.0
"West Carson CDP",20143.0,21.7,65.5,12.8,92.3,8520.0,11623.0
"San Lorenzo CDP",19987.0,23.1,60.4,16.5,91.0,8195.0,11792.0
"Lomita city",19382.0,23.4,65.4,11.2,89.8,7714.0,11668.0
"La Canada Flintridge city",19378.0,25.1,61.4,13.5,94.2,8565.0,10813.0
"Hollister city",19212.0,32.9,58.2,8.9,99.9,9587.0,9625.0
