Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,"PPG, multilateral concessional (NFL, current US$)",DT.NFL.MLTC.CD,103208984.6,138845058.4,94500325.3,107893066.3,75035339.8,61379085.3,50447243.2,32498062.7,11498754.5,-8410023.7
Afghanistan,AFG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,3493000,1272000,1296000,3140000,966000,862000,1611879.8,4158198.4,12102333.3,18688051
Afghanistan,AFG,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,5766252.2,3242050.9,5996000,6530000,7709000,8885904.9,8300000,7525164,9145734.6,8728365.4
Afghanistan,AFG,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,9259252.2,4514050.9,7292000,9670000,8675000,9747904.9,9911879.8,11683362.4,21248067.9,27416416.4
Afghanistan,AFG,"PPG, other private creditors (DOD, current US$)",DT.DOD.PROP.CD,397000,397000,397000,397000,0,0,0,0,0,0
Afghanistan,AFG,"PPG, other private creditors (NTR, current US$)",DT.NTR.PROP.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Present value of external debt (current US$),DT.DOD.PVLX.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Principal arrears, official creditors (current US$)",DT.AXA.OFFT.CD,95788653.3,97256550.2,65218893,64707218.8,64995232.4,65092650,63188125,63145842.5,22923800.6,9139000
Afghanistan,AFG,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,3493000,1272000,1296000,3140000,966000,862000,1611879.8,4158198.4,12102333.3,18688051
Afghanistan,AFG,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,3493000,1272000,1296000,3140000,966000,862000,1611879.8,4158198.4,12102333.3,18688051
